num_pairs,total_persistence,max_life,entropy,orden,h1_lifetime
3,8.181774691163909,4.571105269401743,0.94565633700134,original,6.599415126449507
3,8.944554624156513,4.620157131033026,0.9342247924294083,reversa,6.350611459862523
2,5.999351134007265,4.7861191126566265,0.5034745290070185,rand_1,6.612914346172921
3,3.472590732769867,2.7653550854469735,0.6152195702820922,rand_2,8.095705899820619
3,6.239759159824306,3.8047954699909554,0.9305672470368345,rand_3,6.5745835343261305
3,8.098236073757608,5.257208117716395,0.8746996741828101,rand_4,7.436781110576783
3,8.016471606944743,3.995735764402,1.0105992004234852,rand_5,6.751314475601035
4,9.771394271386342,5.586119197879688,1.0464200494077822,rand_6,6.326500497056998
4,9.091882071327769,4.599645887481592,1.1344766559766095,rand_7,8.062978178846508
3,8.24692389621464,4.795080168680127,0.8728217093232535,rand_8,7.8026582941955
3,6.989054894247628,3.5881814844148305,0.8198156985445133,rand_9,7.36187357838216
4,9.448049323489842,5.368213146601837,0.9177400130654048,rand_10,7.042190800166734
4,11.545142224261387,5.80390313012756,1.223053259013637,rand_11,6.848322978543392
3,8.171443050229263,3.73532749149466,1.0656826577458876,rand_12,6.91362394043988
4,10.055801883711244,4.7273648066121945,1.032330252438714,rand_13,6.863991283354209
4,6.75195177513915,3.2603930763492066,0.9315003398765143,rand_14,7.446354738647242
2,4.858826718129442,4.003837847610567,0.4652212704425555,rand_15,6.281523764593349
